filer_ein,filer_name,receipt_amt,govt_amt,contrib_amt,tax_year,xml_name
842384597,APPLIED RESEARCH FOUNDATION OF WEST,948435,928027,0,2023,202443279349301424
593149293,SOUTHWEST VOLUSIA HEALTHCARE CORPORATION,278658454,0,716234,2023,202403529349300045
522341329,CREDIT UNION MIRACLE DAY INC,721586,0,715590,2023,202423539349300242
232526605,PHILADELPHIA CHILDREN'S ALLIANCE,6705036,5604012,680074,2023,202403309349301180
830434706,OLNEYVILLE NEIGHBORHOOD ASSOCIATION,359276,0,352697,2023,202423549349300402
710534265,CONSOLIDATED YOUTH SERVICES INC,5491085,5361834,10240,2023,202413309349300311
391815260,WHITEWATER COMMUNITY FOUNDATION,1024448,0,814492,2023,202433449349300343
061390911,STUDENT PARENTING AND FAMILY SERVICES,636518,425628,6474,2023,202403409349300715
261144891,HUMANE SOCIETY OF BLUE RIDGE INC,1880971,13190,521782,2023,202413519349301026
261871311,LCTCS FACILITIES CORPORATION,35906032,1305134,1381980,2023,202443329349301534
201542771,LEON COUNTY DOMESTIC VIOLENCE ADVOCATES INC,328270,281798,46472,2023,202423379349300317
272667123,GUARDIAN ANGELS MEDICAL SERVICE,3986574,912508,2783945,2023,202443349349300619
310720849,SCIOTO PAINT VALLEY MENTAL HEALTH CENTER,14092888,6903962,4030,2023,202403459349301215
113036558,AMERICAN FRIENDS OF MIGDAL TORAH INC,1307452,0,1307452,2023,202423419349300512
726033670,NEW ORLEANS BAPTIST SEMINARY FOUNDATION,2433919,0,440254,2023,202413449349300906
831561129,Rodos Foundation Inc,3981382,0,3000000,2023,202423499349300202
454307895,Mitzvah Fund Inc,493417,37700,428429,2023,202413549349300511
510118817,MILFORD SENIOR CENTER INC,912568,387883,56040,2023,202443469349300724
941613808,THE HARKER SCHOOL,165707836,0,12489594,2023,202433279349300303
237067775,BOYS & GIRLS CLUB OF VALDOSTA INC,3394412,1812802,621556,2023,202443459349300109
650731996,BOYS & GIRLS CLUBS OF MIAMI,1801058,0,1074637,2023,202423399349301202
940382325,HILLBROOK SCHOOL,24329349,0,5200675,2023,202443459349301554
592001615,HOPE RURAL SCHOOL INC,9047560,1043433,1449093,2023,202443309349301229
752534680,PowerPoint Ministries,7961872,0,7917496,2023,202443539349300824
202828807,THE CARPENTER'S SHOP CENTER INC,638528,380057,185644,2023,202423489349300332
510246884,ST ANTHONY'S HOUSING FOR THE,1958872,1318561,0,2023,202433539349300733
016006058,PORTLAND MAINE SYMPHONY ORCHESTRA,5224569,0,1840916,2023,202403419349300625
202693286,Theodyssey Group,345506,0,326738,2023,202423459349301122
200806767,Brazilian Church Assembly of God in Worcester,264975,0,264975,2023,202423279349300837
840745911,SAFEHOUSE DENVER INC,2866603,912309,1464661,2023,202443319349301419
990279188,BIG ISLAND RC&D,293526,174576,79780,2023,202413299349300001
942605396,DOMESTIC VIOLENCE RESOURCE CENTER,3840658,947465,2546245,2023,202423499349300502
465310102,IDAHO ORGANIZATION OF RESOURCE COUN,387683,60212,325746,2023,202403329349300400
760724241,THE FUND FOR WOMEN AND GIRLS,2318409,0,391914,2023,202423459349300002
832144751,PLAN A HEALTH INC,2212962,223665,1927387,2023,202423389349300212
931193792,THE LAWYERS' CAMPAIGN FOR,1937696,97500,1793583,2023,202433379349300823
800256706,BACAANDA FOUNDATION INC,350144,0,328352,2023,202413519349301711
237448611,THALIA SPANISH THEATRE INC,703995,424789,126155,2023,202443419349300419
953392299,Insight for Living,20655298,0,18591862,2023,202433539349301218
561614271,KIWANIS CLUB OF BLACK MOUNTAIN SWANNANOA FOUNDATION INC,361311,0,358805,2023,202433549349301458
