# Non-state 'UNIVERSITY OF ...' patterns (8,646 entries)
# Sorted by total donation amount (descending)
# Format: NAME	COUNT	TOTAL_DONATIONS

UNIVERSITY OF YORK	26	5847932.0
THE GOVERNORS OF THE UNIVERSITY OF CALGARY	32	5820830.0
University of Cincinnati Foundation	116	5810910.0
UNIVERSITY OF NORTHERN COLORADO FOUNDATION INC	88	5799798.0
UNIVERSITY OF MEMPHIS FDN	6	5795000.0
University Of Denver	14	5788820.0
UNIVERSITY OF TN FOUNDATION	14	5774480.0
THE UNIVERSITY OF SOUTHERN MISSISSIPPI FOUNDATION	32	5760220.0
UNIVERSITY OF AZ FOUNDATION	26	5688068.0
University of Sioux Falls	40	5683486.0
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOI	40	5659740.0
UNIVERSITY OF SOUTH FLORIDA MUMA COLLEGE OF BUSINESS	2	5639000.0
REGENT OF THE UNIVERSITY OF	4	5633332.0
UNIVERSITY OF SAINT FRANCIS	82	5630088.0
University of Puerto Rico	30	5600446.0
KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES	32	5591634.0
The University of Memphis	8	5574792.0
UNIVERSITY OF WI-EAU CLAIRE FOUNDAT	8	5574200.0
LAW COLLEGE ASSOCIATION OF THE UNIVERSITY OF ARIZO	14	5567840.0
UNIVERSITY OF LA VERNE	178	5532660.0
THE UNIVERSITY OF ADELAIDE	14	5524932.0
UNIVERSITY OF SOUTHERN CALIFORNIA (USC)	36	5471250.0
REGENTS OF THE UNIVERSITY OF CALIFO	66	5440916.0
University of MarylandBaltimore Foundation	4	5426000.0
UNIVERSITY OF ALBERTA (UOFA) CILLDI	2	5408872.0
UNIVERSITY OF NORTH GEORGIA FOUNDATION INC	88	5327238.0
CHARLES DREW UNIVERSITY OF MEDICINE AND SCIENCE	18	5308424.0
THE UNIVERSITY OF GUADALAJARA	6	5260940.0
UNIVERSITY OF NORTHERN COLORADO FOUNDATION	106	5255222.0
UNIVERSITY OF ROCHESTER MEDICAL CENTER	80	5220174.0
UNIVERSITY OF PITTSBURGH-DEPT OF MEDICINE	4	5211202.0
THE GRADUATE CENTER OF THE CITY UNIVERSITY OF NY	8	5198000.0
ASSOCIATES OF THE UNIVERSITY OF TORONTO INC	66	5178488.0
UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER TCOM FOUNDATION INC	4	5176064.0
QUEEN'S UNIVERSITY OF BELFAST	6	5169732.0
The Regents of the University of Ca	6	5150808.0
RUTGERS THE STATE UNIVERSITY OF NJ AT NEWARK	12	5150000.0
UNIVERSITY OF MD BALTIMORE	14	5116138.0
FOUNDATION OF THE UNIVERSITY OF	14	5080000.0
UNIVERSITY OF AUCKLAND	24	5072718.0
RUTGERS STATE UNIVERSITY OF NJ	30	5052902.0
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NY	22	5044908.0
KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY	6	5005204.0
RICE UNIVERSITY OFFICE OF DEVELOPMENT	4	5000000.0
University of TN Foundation	2	5000000.0
UNIVERSITY OF NORTH ALABAMA FOUNDATION	66	4999990.0
University of the Pacific	54	4999968.0
UNIVERSITY OF THE VIRGIN ISLANDS	58	4972002.0
University of South Florida Foundation	42	4922974.0
UNIVERSITY OF TULSA THE	28	4860500.0
UNIVERSITY OF MIAMI PERINATAL CARE	2	4844320.0
UNIVERSITY OF CINCINNATI LAW SCHOOL	18	4827576.0
UNIVERSITY OF GLOBAL HEALTH EQUITY	14	4817952.0
UNIVERSITY OF MARY HARDIN-BAYLOR	138	4813712.0
University of Denver - Scholarships	4	4807818.0
FRIENDS OF THE UNIVERSITY OF OTTAWA	20	4732100.0
UNIVERSITY OF MEDICINE AND DENTISTRY OF NEW JERSEY	8	4686696.0
AMERICAN UNIVERSITY OF ARMENIA CORP	8	4671502.0
AMERICAN ASSOCIATES OF BEN-GURION UNIVERSITY OF THE NEGEV	12	4660000.0
UNIVERSITY OF MS FOUNDATION	68	4646842.0
UNIVERSITY OF IL	24	4638888.0
UNIVERSITY OF SOUTH FLORIDA BOARD OF TRUSTEES THE	10	4633608.0
UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES	30	4624288.0
UNIVERSITY OF TX AUSTIN	14	4616000.0
THE UNIVERSITY OF SOUTHERN CALIFORNIA	16	4602000.0
CHARLES DREW UNIVERSITY OF SCIENCE & MEDICINE	2	4600000.0
UNIVERSITY OF DENVER (COLORADO SEMINARY)	22	4586254.0
NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH UNIVERSITY OF GHANA	8	4579778.0
UNIVERSITY OF GENEVA	20	4567102.0
JOHNS HOPKINS UNIVERSITY OF MEDICINE	14	4530000.0
New York University Office of Gift Administration	4	4520000.0
THE REGENTS OF THE UNIVERSITY OF MI	24	4496918.0
UNIVERSITY OF THE INCARNATE WORD	180	4475252.0
UNIVERSITY OF PITTSBURGH MEDICAL CENTER	34	4402066.0
University Of Rochester	14	4391490.0
Regents Of The University Of Cal	6	4368416.0
UNIVERSITY OF ST ANDREWS	22	4361414.0
University of Silicon Andhra	6	4359626.0
ST GEORGES UNIVERSITY OF LONDON	8	4349838.0
REGENTS OF THE UNIVERSITY OF CA - SAN FRANCISCO	6	4344476.0
UNIVERSITY OF KWAZULU-NATAL	16	4294088.0
UNIVERSITY OF VIENNA	36	4289372.0
UNIVERSITY OF MASS MEDICAL SCHOOL	22	4278584.0
UNIVERSITY OF DURHAM	18	4278274.0
UNIVERSITY OF WEST GEORGIA FOUNDATION INC	76	4273780.0
